"","MEblue","MEbrown","MEturquoise"
"1",-0.226146761845777,-0.357159497484522,0.0570622246674728
"2",0.326206459534052,0.00184617378752483,-0.138904706796931
"3",0.126605376475334,0.169124741277604,0.0460629379728286
"4",0.190526802329495,0.116822927150259,-0.00705084625082184
"5",-0.221259556007631,-0.103847244693129,0.148853239923047
"6",-0.247430920045238,0.613744844618803,0.181442414386016
"7",-0.438097763871708,0.192315349816098,0.196488852113684
"8",-0.323098505205146,0.226239482784344,0.209619394943384
"9",0.137358354087957,-0.403574306452329,-0.134545772725541
"10",0.536221321600318,-0.281853135359327,-0.879113175470444
"11",0.104136767790461,0.155147640613642,0.104994469740902
"12",0.0154466625366986,-0.0144017032279533,0.0675510849290119
"13",-0.0809923850157502,-0.0123682936305704,0.107784257299479
"14",0.156027098901955,-0.206996667631798,-0.00938996837868819
"15",0.102035384689467,0.094673186206625,-0.0708428450611023
"16",-0.157538335954487,-0.18971349777527,0.119988438707704
